ID;G0100;G0101;G0102;G0103;G0104;G0105;G0106;G0108;G0110;G0111;G0112;G0113
575;;;;;;;;;;;;
576;Poço Tubular;80.00;0.5;4.00;;;;;;;;
577;Poço Tubular;70.00;1.00;4.00;;;;;;;;
578;Poço Tubular;70.00;0.5;4.00;;;;;;;;
579;;;;;;;;;;;;
580;;;;;;;;;;;;
581;Poço Tubular;52.00;0.5;4.00;;;;;;;;
582;;;;;;;;;;;;
583;;;;;;;;;;;;
584;Poço Tubular;84.00;0.5;4.00;;;;;;;;
585;;;;;;;;;;;;
586;Poço Tubular;69.00;0.5;4.00;;;;;;;;
587;;;;;;;;;;;;
588;;;;;;;;;;;;
589;;;;;;;;;;;;
590;Poço Tubular;70.00;0.5;4.00;;;;;;;;
591;;;;;;;;;;;;
592;Poço Tubular;90.00;0.5;4.00;;;;;;;;
593;;;;;;;;;;;;
594;;;;;;;;;;;;
595;Poço Escavado-Cacimba;3.00;1.00;3.00;;;;;;;;
596;Poço Escavado-Cacimba;5.00;1.00;5.00;;;;;;;;
597;Poço Escavado-Cacimba;14.00;1.5;1.5;;;01/07/2007;;;;;
598;;;;;;;;;;;;
599;Poço Tubular;8.00;1.5;1.5;;;01/07/2007;;;;;
600;Poço Tubular;15.00;1.00;1.5;;;01/07/2007;;;;;
601;;;;;;;;;;;;
602;Poço Escavado-Cacimba;6.00;1.5;;;;;;;;;
603;Poço Escavado-Cacimba;10.00;1.00;9.00;;;01/02/1992;;;;;
604;;;;;;;;;;;;
605;Poço Tubular;15.00;1.00;1.00;;;;;;;;
606;;;;;;;;;;;;
607;Poço Escavado-Cacimba;6.00;1.00;3.00;;;;;;;;
608;;;;;;;;;;;;
609;Poço Tubular;6.00;1.00;1.5;;;01/07/2017;;;;;
610;Poço Escavado-Cacimba;14.00;1.00;1.5;;;01/07/2014;;;;;
611;;;;;;;;;;;;
612;Poço Tubular;13.00;1.00;1.00;;;01/07/2018;;;;;
613;;;;;;;;;;;;
614;;;;;;;;;;;;
615;;;;;;;;;;;;
616;;;;;;;;;;;;
617;;;;;;;;;;;;
618;;;;;;;;;;;;
619;;;;;;;;;;;;
620;;;;;;;;;;;;
621;;;;;;;;;;;;
622;;;;;;;;;;;;
623;Poço Escavado-Cacimba;11.00;1.00;3.00;;;;;;;;
624;;;;;;;;;;;;
625;Poço Escavado-Cacimba;11.00;1.00;1.00;;;;;;;;
626;;;;;;;;;;;;
627;Poço Tubular;7.00;1.00;1.00;;;02/25/2018;;;;;
628;;;;;;;;;;;;
